BEZIRKSNUM,NAME
1850,Surselva
250,Interlaken-Oberhasli
1843,Engiadina Bassa/Val Müstair
1846,Maloja
246,Bern-Mittelland
1849,Prättigau/Davos
2313,Visp
249,Frutigen-Niedersimmental
2224,Jura-Nord vaudois
245,Emmental
1841,Albula
2303,Entremont
1851,Viamala
2104,Locarno
2304,Goms
248,Obersimmental-Saanen
2108,Vallemaggia
241,Jura bernois
1725,Sarganserland
506,Schwyz
1003,La Gruyère
1847,Moesa
1727,Toggenburg
2103,Leventina
2221,Aigle
2301,Brig
316,Entlebuch
2311,Sierre
2305,Hérens
2227,Morges
2102,Blenio
2105,Lugano
315,Willisau
243,Seeland
2306,Leuk
2603,Porrentruy
244,Oberaargau
247,Thun
2228,Nyon
2601,Delémont
314,Sursee
1848,Plessur
2230,Riviera-Pays-d'Enhaut
2012,Frauenfeld
2309,Raron
2308,Monthey
1006,Sense
2307,Martigny
1726,See-Gaster
110,Winterthur
1842,Bernina
2302,Conthey
2223,Gros-de-Vaud
2015,Weinfelden
2101,Bellinzona
312,Luzern-Land
1004,La Sarine
1724,Werdenberg
1844,Imboden
2602,Les Franches-Montagnes
2222,Broye-Vully
2310,Saint-Maurice
505,March
103,Bülach
313,Hochdorf
105,Hinwil
1845,Landquart
1002,La Glâne
102,Andelfingen
108,Pfäffikon
1005,See
1721,St. Gallen
1906,Laufenburg
1902,Baden
104,Dielsdorf
2107,Riviera
1904,Brugg
1728,Wil
1910,Zofingen
1304,Sissach
2226,Lavaux-Oron
1102,Thal
1908,Muri
1723,Rheintal
2014,Münchwilen
1501,Hinterland
1007,La Veveyse
2312,Sion
1911,Zurzach
2013,Kreuzlingen
1001,La Broye
109,Uster
1903,Bremgarten
1107,Lebern
101,Affoltern
1909,Rheinfelden
501,Einsiedeln
1305,Waldenburg
1901,Aarau
106,Horgen
1907,Lenzburg
2106,Mendrisio
1905,Kulm
242,Biel/Bienne
1301,Arlesheim
1403,Schaffhausen
112,Zürich
2011,Arbon
1110,Thierstein
1303,Liestal
107,Meilen
1302,Laufen
1108,Olten
1106,Wasseramt
1105,Gösgen
2225,Lausanne
1103,Bucheggberg
1101,Gäu
1502,Mittelland
111,Dietikon
1722,Rorschach
1104,Dorneck
1406,Unterklettgau
1503,Vorderland
503,Höfe
1404,Schleitheim
1402,Reiat
504,Küssnacht (SZ)
1401,Oberklettgau
1405,Stein
311,Luzern-Stadt
2229,Ouest lausannois
502,Gersau
1109,Solothurn
