,name,status,pop80,pop90,pop00,pop10,pop20,pop23
0,Aargau,Canton,"453,442","507,508","547,493","611,466","694,072","726,833"
12,Appenzell Ausserrhoden,Canton,"47,611","52,229","53,504","53,017","55,309","56,487"
16,Appenzell Innerrhoden,Canton,"12,844","13,870","14,618","15,688","16,293","16,585"
17,Appenzell Innerrhoden,Canton,"12,844","13,870","14,618","15,688","16,293","16,585"
18,Basel-Landschaft [Basel Country],Canton,"233,447","248,484","259,374","274,404","290,969","298,784"
24,Basel-Stadt [Basel City],Canton,"203,915","199,411","188,079","184,950","196,735","199,982"
25,Basel-Stadt [Basel City],Canton,"203,915","199,411","188,079","184,950","196,735","199,982"
26,Bern (Berne),Canton,"898,343","943,070","957,144","979,754","1,043,081","1,063,215"
37,Fribourg (Freiburg),Canton,"185,300","213,627","241,759","278,541","325,547","341,490"
45,Genève [Geneva],Canton,"349,040","379,190","413,673","457,715","506,343","524,281"
46,Genève (Genf) [Geneva],Canton,"349,040","379,190","413,673","457,715","506,343","524,281"
47,Glarus,Canton,"36,718","38,508","38,183","38,608","40,851","42,053"
48,Glarus,Canton,"36,718","38,508","38,183","38,608","40,851","42,053"
49,"Graubünden (Grigioni, Grischun) [Grisons]",Canton,"164,641","173,890","187,058","192,621","200,096","204,882"
61,Jura,Canton,"64,986","66,233","68,224","70,032","73,709","74,540"
65,Luzern [Lucerne],Canton,"296,159","326,268","350,504","377,610","416,347","432,685"
72,Neuchâtel,Canton,"158,368","163,985","167,949","172,085","175,894","178,276"
73,Neuchâtel,Canton,"158,368","163,985","167,949","172,085","175,894","178,276"
74,Nidwalden [Nidwald],Canton,"28,617","33,044","37,235","41,024","43,520","45,012"
75,Nidwalden [Nidwald],Canton,"28,617","33,044","37,235","41,024","43,520","45,012"
76,Obwalden [Obwald],Canton,"25,865","29,025","32,427","35,585","38,108","39,271"
77,Obwalden [Obwald],Canton,"25,865","29,025","32,427","35,585","38,108","39,271"
78,Schaffhausen,Canton,"69,413","72,160","73,392","76,356","83,107","87,097"
85,Schwyz,Canton,"97,354","111,964","128,704","146,730","162,157","167,387"
92,Solothurn,Canton,"218,102","231,746","244,341","255,284","277,462","286,751"
103,St. Gallen,Canton,"391,995","427,501","452,837","478,907","514,504","535,047"
112,Thurgau [Thurgovia],Canton,"183,795","209,362","228,875","248,444","282,909","295,182"
118,Ticino,Canton,"265,899","282,181","306,846","333,753","350,986","357,714"
127,Uri,Canton,"33,883","34,208","34,777","35,422","36,819","37,930"
128,Uri,Canton,"33,883","34,208","34,777","35,422","36,819","37,930"
129,Valais (Wallis),Canton,"218,707","249,817","272,399","312,684","348,503","365,765"
143,Vaud (Waadt),Canton,"528,747","601,816","640,657","713,281","814,762","845,759"
154,Zug,Canton,"75,930","85,546","100,052","113,105","128,794","132,545"
155,Zug,Canton,"75,930","85,546","100,052","113,105","128,794","132,545"
156,Zürich [Zurich],Canton,"1,122,839","1,179,044","1,247,906","1,373,068","1,553,423","1,605,264"
