,UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,BEZIRKSNUM,SEE_FLAECH,REVISION_Q,BEZIRKSFLA,BEZIRK_TEI,NAME,KANTONSNUM,ICC,EINWOHNERZ
0,{9D91928E-115F-43DA-AF90-10625E58B7F9},20161114115308,20121026122135,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,1850,,2019_Aufbau,137356.0,0,Surselva,18,CH,21483.0
1,{18B8E2A0-F043-4198-87FC-119BA9F5E762},20171205081628,20121026122135,2012,10,2020,1,Verbessert,swisstopo,2018,1,Bezirk,250,0.0,2019_Aufbau,122931.0,0,Interlaken-Oberhasli,2,CH,47387.0
2,{1C504398-486E-49F8-A024-B59233F9DE89},20181122134129,20121026122135,2012,10,2020,1,Verbessert,AV,2019,1,Bezirk,1843,,2019_Aufbau,119653.0,0,Engiadina Bassa/Val Müstair,18,CH,9200.0
3,{FDA49AE0-D4C8-43EF-9275-0624413C5949},20181122134130,20121026122135,2012,10,2020,1,Verbessert,AV,2019,1,Bezirk,1846,,2019_Aufbau,97357.0,0,Maloja,18,CH,18259.0
4,{25673BF2-FF32-48E3-AA80-880EA3D4B856},20181122120935,20121026122134,2012,10,2020,1,Verbessert,AV,2019,1,Bezirk,246,,2019_Aufbau,94346.0,1,Bern-Mittelland,2,CH,414356.0
5,{03FA50E3-8AD9-4F27-ABA1-BB95F7D4F4B2},20161114115235,20121026122135,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,1849,,2019_Aufbau,85340.0,0,Prättigau/Davos,18,CH,26083.0
6,{126D2D0A-1109-46A6-9405-BEA0DAE0F21F},20151208153210,20121026122134,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,2313,,2019_Aufbau,86420.0,1,Visp,23,CH,28454.0
7,{A0763AC7-DD66-4755-8D3A-EA3521481097},20171205081628,20121026122135,2012,10,2020,1,Verbessert,swisstopo,2018,1,Bezirk,249,2.0,2019_Aufbau,77365.0,0,Frutigen-Niedersimmental,2,CH,40375.0
8,{37CE1747-36A0-41CE-9FBF-72D7A75FE695},20171205081628,20121026122134,2012,10,2020,1,Verbessert,swisstopo,2018,1,Bezirk,2224,1.0,2019_Aufbau,70100.0,0,Jura-Nord vaudois,22,CH,91971.0
9,{78DC04A9-2163-4FD8-9889-3698EBB7170F},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,245,,2019_Aufbau,69041.0,0,Emmental,2,CH,97218.0
