B19BTOT,gemeinde_NAME,coords
1981,Aeugst am Albis,[47.2739      8.48795466]
5721,Obfelden,[47.26417792  8.4187548 ]
2293,Stadel,[47.53913756  8.46603545]
789,Doppleschwand,[47.01161188  8.04720193]
3280,Entlebuch,[46.97605417  8.11086904]
1929,Flühli,[46.84128618  8.00028517]
1736,Hasle (LU),
659,Romoos,[47.01033628  8.00289677]
4206,Schüpfheim,[46.94875508  8.00965874]
2180,Werthenstein,[47.03314727  8.10333229]
3609,Steinmaur,[47.50276943  8.44160292]
4351,Escholzmatt-Marbach,[46.91577733  7.94499729]
1903,Weiach,[47.55389521  8.4426624 ]
1259,Aesch (LU),
430,Altwis,
2710,Ballwil,[47.14235251  8.33449461]
31043,Emmen,[47.09512041  8.29100236]
989,Ermensee,[47.22470687  8.23346299]
3627,Eschenbach (LU),
5428,Hitzkirch,[47.22232712  8.26681827]
9884,Hochdorf,[47.16541852  8.2857956 ]
2403,Hohenrain,[47.19613158  8.30517916]
2641,Inwil,[47.13157316  8.36887634]
2831,Rain,[47.13457181  8.26401229]
1788,Römerswil,[47.17361939  8.25163498]
7678,Rothenburg,[47.10648121  8.27552092]
1030,Schongau,[47.26372054  8.27520631]
5460,Adligenswil,[47.07238917  8.36776806]
6361,Buchrain,[47.1050314   8.34546371]
1484,Dierikon,[47.09322939  8.37163967]
13849,Ebikon,[47.07726784  8.33733955]
1412,Gisikon,[47.12672919  8.40285107]
1165,Greppen,[47.06133827  8.43794872]
401,Honau,[47.13286159  8.40991515]
14243,Horw,[47.01516501  8.30144173]
27847,Kriens,[47.0189982   8.27504126]
82257,Luzern,[47.0565847   8.28539294]
7432,Malters,[47.03902682  8.17715731]
7436,Meggen,[47.055485    8.37301381]
1451,Meierskappel,[47.11344423  8.44269891]
5126,Root,[47.1120316   8.38590375]
1726,Schwarzenberg,[46.99868637  8.16913804]
2294,Udligenswil,[47.08992666  8.4007543 ]
1402,Vitznau,[47.02160295  8.48624632]
4317,Weggis,[47.03335356  8.46829134]
6624,Beromünster,[47.19536833  8.1867942 ]
2559,Büron,[47.21462176  8.09994267]
3333,Buttisholz,[47.10877516  8.09420376]
1630,Eich,[47.16515989  8.17362685]
2874,Geuensee,[47.19980487  8.11950777]
3249,Grosswangen,[47.1294148  8.0489502]
2343,Hildisrieden,[47.14675258  8.23092366]
2275,Knutwil,[47.19283045  8.07102367]
1460,Mauensee,[47.17102375  8.06847745]
7163,Neuenkirch,[47.10754378  8.20304093]
3965,Nottwil,[47.12440959  8.13705721]
4794,Oberkirch,[47.1546455   8.09786416]
3398,Rickenbach (LU),
7046,Ruswil,[47.07945761  8.13331265]
3024,Schenkon,[47.18627832  8.13190221]
2588,Ottenbach,[47.28182497  8.41141807]
921,Schlierbach,[47.22335427  8.11942671]
4208,Sempach,[47.13619456  8.20583688]
10195,Sursee,[47.17795017  8.10197429]
4640,Triengen,[47.23708568  8.05821702]
4308,Wolhusen,[47.05165932  8.050573  ]
5053,Bäretswil,[47.33746418  8.87379614]
7344,Bubikon,[47.26942531  8.80801762]
659,Alberswil,[47.14280558  7.99239159]
1012,Altbüron,[47.18895156  7.87825121]
1590,Altishofen,[47.1859819   7.94562589]
5608,Dagmersellen,[47.21299651  8.00549688]
369,Ebersecken,
1514,Egolzwil,[47.18594471  8.00011314]
2730,Ettiswil,[47.15483732  8.03245492]
700,Fischbach,[47.15038391  7.90665925]
7606,Dürnten,[47.27501622  8.85387013]
1159,Gettnau,
854,Grossdietwil,[47.16828826  7.88765787]
1905,Hergiswil bei Willisau,[47.0616356   7.95902365]
1238,Luthern,[47.05875982  7.90758127]
2888,Menznau,[47.05869782  8.02511914]
2695,Nebikon,[47.19088332  7.97635286]
2665,Pfaffnau,[47.21739633  7.87471956]
2516,Fischenthal,[47.33733031  8.92734358]
7186,Reiden,[47.23951804  7.98058789]
698,Roggliswil,[47.21347036  7.88420364]
4530,Schötz,[47.16493141  7.96123135]
888,Ufhusen,[47.10177919  7.89702525]
2261,Wauwil,[47.18736888  8.02291342]
1520,Wikon,[47.26385796  7.97974617]
10280,Gossau (ZH),
2097,Zell (LU),
7811,Willisau,[47.09574434  7.97844582]
3641,Grüningen,[47.27909904  8.76355632]
11277,Hinwil,[47.30352551  8.8616247 ]
12286,Rüti (ZH),
1430,Seegräben,[47.33929407  8.76201033]
1129,Rifferswil,[47.24588203  8.4965225 ]
10096,Wald (ZH),
9537,Altdorf (UR),
1433,Andermatt,[46.62306258  8.61653897]
1750,Attinghausen,[46.83309383  8.55194912]
165,Bauen,
3995,Bürglen (UR),
3845,Erstfeld,[46.81682528  8.59987757]
1961,Flüelen,[46.91145569  8.6428767 ]
431,Göschenen,[46.66643093  8.49050149]
528,Gurtnellen,[46.74189593  8.62378988]
24990,Wetzikon (ZH),
180,Hospental,[46.61226841  8.565966  ]
474,Isenthal,[46.8880786   8.52336755]
150,Realp,[46.58368421  8.4703209 ]
5413,Schattdorf,[46.85023123  8.67228664]
1886,Seedorf (UR),
678,Seelisberg,[46.95563905  8.56428981]
1957,Silenen,[46.77855539  8.75512933]
383,Sisikon,[46.93776406  8.6633796 ]
830,Spiringen,[46.879236    8.89307699]
702,Unterschächen,[46.85887558  8.78628382]
405,Wassen,[46.72927303  8.52222047]
3755,Stallikon,[47.32260115  8.48872558]
16106,Einsiedeln,[47.1232899   8.76641625]
18944,Adliswil,[47.307169    8.52278591]
2326,Gersau,[47.00925668  8.5229244 ]
5350,Feusisberg,[47.17353436  8.73441889]
16506,Freienbach,[47.18968018  8.76984303]
7299,Wollerau,[47.19022301  8.70673144]
13300,Küssnacht (SZ),
7059,Altendorf,[47.16903788  8.82684762]
5227,Galgenen,[47.16203964  8.8708251 ]
177,Innerthal,[47.07657449  8.92361983]
8883,Lachen,[47.19093069  8.85594241]
3825,Reichenburg,[47.1624785   8.96529167]
9190,Schübelbach,[47.1421206   8.93901952]
3293,Tuggen,[47.19678535  8.93064737]
992,Vorderthal,[47.12921823  8.89978324]
5150,Wangen (SZ),
8923,Kilchberg (ZH),
7727,Langnau am Albis,[47.28015184  8.53011323]
621,Alpthal,[47.06031626  8.70999928]
12154,Arth,[47.05728684  8.53872935]
797,Illgau,[46.99702698  8.73044362]
8952,Ingenbohl,[47.00374878  8.61115729]
1114,Lauerz,[47.02604854  8.57383859]
1148,Morschach,[46.97903136  8.64847126]
3486,Muotathal,[46.96959727  8.82601125]
870,Oberiberg,[47.02257097  8.79636056]
86,Riemenstalden,[46.94108094  8.6858694 ]
5002,Oberrieden,[47.27276567  8.57629109]
2460,Rothenthurm,[47.11273596  8.68013508]
1925,Sattel,[47.07219364  8.63235217]
15239,Schwyz,[47.02358562  8.67445377]
3608,Steinen,[47.06103433  8.61065762]
939,Steinerberg,[47.06428366  8.58063286]
2398,Unteriberg,[47.04133765  8.83398585]
13632,Richterswil,[47.20605332  8.69486134]
6092,Rüschlikon,[47.30564313  8.55097788]
5240,Wettswil am Albis,[47.33530932  8.4744166 ]
6053,Alpnach,[46.94505538  8.24369576]
4186,Engelberg,[46.82916647  8.41627142]
3657,Giswil,[46.83617783  8.13013614]
6295,Kerns,[46.85807166  8.28933293]
2111,Lungern,[46.79036702  8.17584065]
5170,Sachseln,[46.84117557  8.25486389]
10458,Sarnen,[46.90459843  8.20480333]
18139,Thalwil,[47.28973996  8.56375503]
3697,Beckenried,[46.94182105  8.47548983]
5285,Buochs,[46.96031626  8.42175344]
1832,Dallenwil,[46.92065748  8.37230787]
1440,Emmetten,[46.95018719  8.53118524]
4779,Ennetbürgen,[46.99573671  8.4033765 ]
2199,Ennetmoos,[46.94092906  8.3188261 ]
5776,Hergiswil (NW),
3114,Oberdorf (NW),
8254,Stans,[46.95445863  8.36191806]
5592,Erlenbach (ZH),
4624,Stansstad,[46.97886261  8.34534014]
2087,Wolfenschiessen,[46.86606976  8.39626935]
6460,Herrliberg,[47.29352009  8.62499845]
8775,Hombrechtikon,[47.25251639  8.76546133]
14564,Küsnacht (ZH),
11359,Männedorf,[47.25671861  8.69632589]
14335,Meilen,[47.27660522  8.64323268]
4840,Oetwil am See,[47.27507026  8.71790294]
14718,Stäfa,[47.24052629  8.73804245]
6201,Uetikon am See,[47.26953182  8.6810069 ]
5486,Zumikon,[47.3348426   8.62428335]
13067,Zollikon,[47.34323328  8.59169092]
18626,Glarus Nord,[47.08561902  9.05201019]
9453,Glarus Süd,[46.93482353  9.08214244]
12511,Glarus,[47.02955377  9.00186292]
24617,Baar,[47.19226589  8.54140139]
16893,Cham,[47.20690998  8.4441954 ]
8784,Hünenberg,[47.19402144  8.42424091]
4551,Menzingen,[47.17071649  8.60288556]
2237,Neuheim,[47.20092458  8.57873805]
6244,Oberägeri,[47.13134773  8.64587157]
10990,Risch,[47.14235692  8.43850023]
10129,Steinhausen,[47.1965764   8.48641597]
8868,Unterägeri,[47.12735202  8.58776522]
3711,Walchwil,[47.10746528  8.53676503]
30618,Zug,[47.15976182  8.52279251]
6485,Fehraltorf,[47.38815032  8.74952193]
3664,Hittnau,[47.36731291  8.82741533]
5605,Lindau,[47.44270209  8.68587389]
12164,Pfäffikon,[47.37510629  8.80930583]
4393,Russikon,[47.4052822   8.79128997]
3364,Weisslingen,[47.43110498  8.7762767 ]
1977,Wila,[47.41176006  8.85997173]
985,Wildberg,[47.41506713  8.82716597]
29303,Dübendorf,[47.3861853   8.61377368]
8796,Egg,[47.29713441  8.69720047]
8689,Fällanden,[47.36834689  8.63262296]
5385,Greifensee,[47.36417601  8.67967705]
10468,Maur,[47.3350885  8.663812 ]
3898,Mönchaltorf,[47.31254697  8.717893  ]
5170,Schwerzenbach,[47.38228646  8.65708488]
35007,Uster,[47.35035331  8.71832425]
18640,Volketswil,[47.39425828  8.6949146 ]
12303,Affoltern am Albis,[47.2804121  8.4500938]
7967,Wangen-Brüttisellen,[47.4138754   8.64864158]
484,Châtillon (FR),
390,Cheiry,
1767,Cugy (FR),
1068,Fétigny,[46.79805727  6.91732104]
1097,Gletterens,[46.89907914  6.93317671]
1178,Lully (FR),
437,Ménières,[46.78594677  6.87791014]
2677,Montagny (FR),
446,Nuvilly,[46.78190584  6.82892204]
72,Prévondavaux,[46.73250552  6.80494405]
1835,Saint-Aubin (FR),
304,Sévaz,[46.83680372  6.873632  ]
725,Surpierre,[46.7511131   6.84213498]
455,Vallon,[46.88249108  6.9528682 ]
