,Unnamed: 0,B19BTOT,gemeinde_NAME
0,0,1981,Aeugst am Albis
1,1,5721,Obfelden
2,2,2293,Stadel
3,3,789,Doppleschwand
4,4,3280,Entlebuch
5,5,1929,Flühli
6,6,1736,Hasle (LU)
7,7,659,Romoos
8,8,4206,Schüpfheim
9,9,2180,Werthenstein
10,10,3609,Steinmaur
11,11,4351,Escholzmatt-Marbach
12,12,1903,Weiach
13,13,1259,Aesch (LU)
14,14,430,Altwis
15,15,2710,Ballwil
16,16,31043,Emmen
17,17,989,Ermensee
18,18,3627,Eschenbach (LU)
19,19,5428,Hitzkirch
20,20,9884,Hochdorf
21,21,2403,Hohenrain
22,22,2641,Inwil
23,23,2831,Rain
24,24,1788,Römerswil
25,25,7678,Rothenburg
26,26,1030,Schongau
27,27,5460,Adligenswil
28,28,6361,Buchrain
29,29,1484,Dierikon
30,30,13849,Ebikon
31,31,1412,Gisikon
32,32,1165,Greppen
33,33,401,Honau
34,34,14243,Horw
35,35,27847,Kriens
36,36,82257,Luzern
37,37,7432,Malters
38,38,7436,Meggen
39,39,1451,Meierskappel
40,40,5126,Root
41,41,1726,Schwarzenberg
42,42,2294,Udligenswil
43,43,1402,Vitznau
44,44,4317,Weggis
45,45,6624,Beromünster
46,46,2559,Büron
47,47,3333,Buttisholz
48,48,1630,Eich
49,49,2874,Geuensee
50,50,3249,Grosswangen
51,51,2343,Hildisrieden
52,52,2275,Knutwil
53,53,1460,Mauensee
54,54,7163,Neuenkirch
55,55,3965,Nottwil
56,56,4794,Oberkirch
57,57,3398,Rickenbach (LU)
58,58,7046,Ruswil
59,59,3024,Schenkon
60,60,2588,Ottenbach
61,61,921,Schlierbach
62,62,4208,Sempach
63,63,10195,Sursee
64,64,4640,Triengen
65,65,4308,Wolhusen
66,66,5053,Bäretswil
67,67,7344,Bubikon
68,68,659,Alberswil
69,69,1012,Altbüron
70,70,1590,Altishofen
71,71,5608,Dagmersellen
72,72,369,Ebersecken
73,73,1514,Egolzwil
74,74,2730,Ettiswil
75,75,700,Fischbach
76,76,7606,Dürnten
77,77,1159,Gettnau
78,78,854,Grossdietwil
79,79,1905,Hergiswil bei Willisau
80,80,1238,Luthern
81,81,2888,Menznau
82,82,2695,Nebikon
83,83,2665,Pfaffnau
84,84,2516,Fischenthal
85,85,7186,Reiden
86,86,698,Roggliswil
87,87,4530,Schötz
88,88,888,Ufhusen
89,89,2261,Wauwil
90,90,1520,Wikon
91,91,10280,Gossau (ZH)
92,92,2097,Zell (LU)
93,93,7811,Willisau
94,94,3641,Grüningen
95,95,11277,Hinwil
96,96,12286,Rüti (ZH)
97,97,1430,Seegräben
98,98,1129,Rifferswil
99,99,10096,Wald (ZH)
100,100,9537,Altdorf (UR)
101,101,1433,Andermatt
102,102,1750,Attinghausen
103,103,165,Bauen
104,104,3995,Bürglen (UR)
105,105,3845,Erstfeld
106,106,1961,Flüelen
107,107,431,Göschenen
108,108,528,Gurtnellen
109,109,24990,Wetzikon (ZH)
110,110,180,Hospental
111,111,474,Isenthal
112,112,150,Realp
113,113,5413,Schattdorf
114,114,1886,Seedorf (UR)
115,115,678,Seelisberg
116,116,1957,Silenen
117,117,383,Sisikon
118,118,830,Spiringen
119,119,702,Unterschächen
120,120,405,Wassen
121,121,3755,Stallikon
122,122,16106,Einsiedeln
123,123,18944,Adliswil
124,124,2326,Gersau
125,125,5350,Feusisberg
126,126,16506,Freienbach
127,127,7299,Wollerau
128,128,13300,Küssnacht (SZ)
129,129,7059,Altendorf
130,130,5227,Galgenen
131,131,177,Innerthal
132,132,8883,Lachen
133,133,3825,Reichenburg
134,134,9190,Schübelbach
135,135,3293,Tuggen
136,136,992,Vorderthal
137,137,5150,Wangen (SZ)
138,138,8923,Kilchberg (ZH)
139,139,7727,Langnau am Albis
140,140,621,Alpthal
141,141,12154,Arth
142,142,797,Illgau
143,143,8952,Ingenbohl
144,144,1114,Lauerz
145,145,1148,Morschach
146,146,3486,Muotathal
147,147,870,Oberiberg
148,148,86,Riemenstalden
149,149,5002,Oberrieden
150,150,2460,Rothenthurm
151,151,1925,Sattel
152,152,15239,Schwyz
153,153,3608,Steinen
154,154,939,Steinerberg
155,155,2398,Unteriberg
156,156,13632,Richterswil
157,157,6092,Rüschlikon
158,158,5240,Wettswil am Albis
159,159,6053,Alpnach
160,160,4186,Engelberg
161,161,3657,Giswil
162,162,6295,Kerns
163,163,2111,Lungern
164,164,5170,Sachseln
165,165,10458,Sarnen
166,166,18139,Thalwil
167,167,3697,Beckenried
168,168,5285,Buochs
169,169,1832,Dallenwil
170,170,1440,Emmetten
171,171,4779,Ennetbürgen
172,172,2199,Ennetmoos
173,173,5776,Hergiswil (NW)
174,174,3114,Oberdorf (NW)
175,175,8254,Stans
176,176,5592,Erlenbach (ZH)
177,177,4624,Stansstad
178,178,2087,Wolfenschiessen
179,179,6460,Herrliberg
180,180,8775,Hombrechtikon
181,181,14564,Küsnacht (ZH)
182,182,11359,Männedorf
183,183,14335,Meilen
184,184,4840,Oetwil am See
185,185,14718,Stäfa
186,186,6201,Uetikon am See
187,187,5486,Zumikon
188,188,13067,Zollikon
189,189,18626,Glarus Nord
190,190,9453,Glarus Süd
191,191,12511,Glarus
192,192,24617,Baar
193,193,16893,Cham
194,194,8784,Hünenberg
195,195,4551,Menzingen
196,196,2237,Neuheim
197,197,6244,Oberägeri
198,198,10990,Risch
199,199,10129,Steinhausen
200,200,8868,Unterägeri
201,201,3711,Walchwil
202,202,30618,Zug
203,203,6485,Fehraltorf
204,204,3664,Hittnau
205,205,5605,Lindau
206,206,12164,Pfäffikon
207,207,4393,Russikon
208,208,3364,Weisslingen
209,209,1977,Wila
210,210,985,Wildberg
211,211,29303,Dübendorf
212,212,8796,Egg
213,213,8689,Fällanden
214,214,5385,Greifensee
215,215,10468,Maur
216,216,3898,Mönchaltorf
217,217,5170,Schwerzenbach
218,218,35007,Uster
219,219,18640,Volketswil
220,220,12303,Affoltern am Albis
221,221,7967,Wangen-Brüttisellen
222,222,484,Châtillon (FR)
223,223,390,Cheiry
224,224,1767,Cugy (FR)
225,225,1068,Fétigny
226,226,1097,Gletterens
227,227,1178,Lully (FR)
228,228,437,Ménières
229,229,2677,Montagny (FR)
230,230,446,Nuvilly
231,231,72,Prévondavaux
232,232,1835,Saint-Aubin (FR)
233,233,304,Sévaz
234,234,725,Surpierre
235,235,455,Vallon
236,236,1520,Les Montets
237,237,1173,Delley-Portalban
238,238,5559,Belmont-Broye
239,239,9762,Estavayer
240,240,2317,Cheyres-Châbles
241,241,282,Auboranges
242,242,786,Billens-Hennens
243,243,302,Chapelle (Glâne)
244,244,364,Le Châtelard
245,245,830,Châtonnaye
246,246,335,Ecublens (FR)
247,247,222,Grangettes
248,248,533,Massonnens
249,249,1044,Mézières (FR)
250,250,394,Montet (Glâne)
251,251,5366,Romont (FR)
252,252,1524,Rue
253,253,2281,Siviriez
254,254,698,Adlikon
255,255,3271,Ursy
256,256,698,Altikon
257,257,1315,Villaz-Saint-Pierre
258,258,2330,Vuisternens-devant-Romont
259,259,1498,Villorsonnens
260,260,973,Torny
261,261,988,La Folliaz
262,262,1559,Haut-Intyamon
263,263,1920,Pont-en-Ogoz
264,264,616,Botterens
265,265,2627,Broc
266,266,23871,Bulle
267,267,295,Châtel-sur-Montsalvens
268,268,908,Corbières
269,269,2067,Brütten
270,270,398,Crésuz
271,271,829,Echarlens
272,272,847,Grandvillard
273,273,2212,Gruyères
274,274,681,Hauteville
275,275,643,Jaun
276,276,1037,Dägerlen
277,277,1959,Marsens
278,278,638,Morlon
279,279,1336,Le Pâquier (FR)
280,280,595,Pont-la-Ville
281,281,2791,Riaz
282,282,1744,La Roche
283,283,776,Dättlikon
284,284,1441,Sâles
285,285,1119,Sorens
286,286,1071,Vaulruz
287,287,1684,Dinhard
288,288,2435,Vuadens
289,289,1549,Bas-Intyamon
290,290,2538,Val-de-Charmey
291,291,1038,Arconciel
292,292,796,Autigny
293,293,1925,Avry
294,294,3280,Belfaux
295,295,842,Chénens
296,296,901,Ellikon an der Thur
297,297,2717,Corminboeuf
298,298,413,Corserey
299,299,1504,Cottens (FR)
300,300,1085,Ependes (FR)
301,301,3647,Elsau
302,302,266,Ferpicloz
303,303,38197,Fribourg
304,304,3177,Givisiez
305,305,3773,Granges-Paccot
306,306,845,Benken (ZH)
307,307,1085,Hagenbuch
308,308,1972,Grolley
309,309,8138,Marly
310,310,1543,Matran
311,311,3169,Hettlingen
312,312,2664,Neyruz (FR)
313,313,707,Noréaz
314,314,160,Pierrafortscha
315,315,750,Ponthaux
316,316,3135,Le Mouret
317,317,1126,Prez-vers-Noréaz
318,318,150,Senèdes
319,319,1483,Treyvaux
320,320,12228,Villars-sur-Glâne
321,321,5718,Neftenbach
322,322,72,Villarsel-sur-Marly
323,323,2531,Hauterive (FR)
324,324,2052,La Brillaz
325,325,1173,La Sonnaz
326,326,7606,Gibloux
327,327,3900,Pfungen
328,328,2749,Rickenbach (ZH)
329,329,1428,Courgevaux
330,330,5468,Courtepin
331,331,1003,Cressier (FR)
332,332,454,Fräschels
333,333,727,Galmiz
334,334,789,Schlatt (ZH)
335,335,313,Gempenach
336,336,173,Greng
337,337,4404,Gurmels
338,338,5029,Kerzers
339,339,702,Kleinbösingen
340,340,7440,Seuzach
341,341,573,Meyriez
342,342,2116,Misery-Courtion
343,343,954,Muntelier
344,344,8259,Murten
345,345,1160,Ried bei Kerzers
346,346,449,Ulmiz
347,347,4883,Turbenthal
348,348,4015,Mont-Vully
349,349,2050,Alterswil
350,350,653,Brünisried
351,351,8181,Düdingen
352,352,1638,Giffers
353,353,3409,Bösingen
354,354,1402,Heitenried
355,355,3621,Plaffeien
356,356,577,Berg am Irchel
357,357,113173,Winterthur
358,358,1013,Plasselb
359,359,1108,Rechthalten
360,360,2079,St. Antoni
361,361,971,St. Silvester
362,362,1345,St. Ursen
363,363,4037,Schmitten (FR)
364,364,3510,Tafers
365,365,1338,Tentlingen
366,366,2379,Ueberstorf
367,367,5569,Wünnewil-Flamatt
368,368,6299,Zell (ZH)
369,369,3562,Attalens
370,370,1512,Bossonnens
371,371,7216,Châtel-Saint-Denis
372,372,864,Granges (Veveyse)
373,373,1152,Remaufens
374,374,1028,Saint-Martin (FR)
375,375,1435,Semsales
376,376,1201,Le Flon
377,377,1254,La Verrerie
378,378,979,Buch am Irchel
379,379,3793,Egerkingen
380,380,1638,Härkingen
381,381,1829,Kestenholz
382,382,2246,Neuendorf
383,383,1246,Niederbuchsiten
384,384,2282,Oberbuchsiten
385,385,6264,Oensingen
386,386,2307,Wolfwil
387,387,1669,Aesch (ZH)
388,388,6724,Birmensdorf (ZH)
389,389,579,Aedermannsdorf
390,390,6239,Balsthal
391,391,82,Gänsbrunnen
392,392,565,Herbetswil
393,393,692,Holderbank (SO)
394,394,1808,Laupersdorf
395,395,1340,Matzendorf
396,396,2404,Mümliswil-Ramiswil
397,397,1076,Welschenrohr
398,398,27746,Dietikon
399,399,4934,Geroldswil
400,400,327,Biezwil
401,401,6738,Oberengstringen
402,402,829,Lüterkofen-Ichertswil
403,403,320,Lüterswil-Gächliwil
404,404,1476,Messen
405,405,2515,Oetwil an der Limmat
406,406,1140,Schnottwil
407,407,218,Unterramsern
408,408,1084,Lüsslingen-Nennigkofen
409,409,2560,Buchegg
410,410,18791,Schlieren
411,411,1166,Bättwil
412,412,1059,Büren (SO)
413,413,6849,Dornach
414,414,901,Gempen
415,415,1290,Hochwald
416,416,3209,Hofstetten-Flüh
417,417,925,Metzerlen-Mariastein
418,418,1488,Nuglar-St. Pantaleon
419,419,1336,Rodersdorf
420,420,4668,Uitikon
421,421,1003,Seewen
422,422,1452,Witterswil
423,423,3934,Unterengstringen
424,424,308,Hauenstein-Ifenthal
425,425,504,Kienberg
426,426,3942,Lostorf
427,427,3830,Niedergösgen
428,428,2271,Obergösgen
429,429,91,Rohr (SO)
430,430,1105,Stüsslingen
431,431,1916,Dachsen
432,432,9981,Urdorf
433,433,6595,Trimbach
434,434,1902,Winznau
435,435,433,Wisen (SO)
436,436,3555,Erlinsbach (SO)
437,437,4813,Weiningen (ZH)
438,438,1257,Aeschi (SO)
439,439,8766,Biberist
