,geometry.rings,geometry.spatialReference.wkid,geometry.spatialReference.latestWkid,attributes.OBJECTID,attributes.GMDHISTID,attributes.GMDNR,attributes.GMDNAME,attributes.BZHISTID,attributes.BZNR,attributes.KTNR,attributes.GRNR,attributes.AREA_HA,attributes.B19BTOT,attributes.B19B11,attributes.B19B12,attributes.B19B13,attributes.B19B14,attributes.B19B15,attributes.B19B16,attributes.B19B21,attributes.B19B22,attributes.B19B23,attributes.B19B24,attributes.B19B25,attributes.B19B26,attributes.B19B27,attributes.B19B28,attributes.B19B29,attributes.B19B30,attributes.B19BMTOT,attributes.B19BM01,attributes.B19BM02,attributes.B19BM03,attributes.B19BM04,attributes.B19BM05,attributes.B19BM06,attributes.B19BM07,attributes.B19BM08,attributes.B19BM09,attributes.B19BM10,attributes.B19BM11,attributes.B19BM12,attributes.B19BM13,attributes.B19BM14,attributes.B19BM15,attributes.B19BM16,attributes.B19BM17,attributes.B19BM18,attributes.B19BM19,attributes.B19BWTOT,attributes.B19BW01,attributes.B19BW02,attributes.B19BW03,attributes.B19BW04,attributes.B19BW05,attributes.B19BW06,attributes.B19BW07,attributes.B19BW08,attributes.B19BW09,attributes.B19BW10,attributes.B19BW11,attributes.B19BW12,attributes.B19BW13,attributes.B19BW14,attributes.B19BW15,attributes.B19BW16,attributes.B19BW17,attributes.B19BW18,attributes.B19BW19,attributes.B19B41,attributes.B19B42,attributes.B19B43,attributes.B19B44,attributes.B19B45,attributes.B19B46,attributes.B19B51,attributes.B19B52,attributes.B19B53,attributes.B19B54,attributes.B19B55,attributes.B19B56,attributes.Shape__Area,attributes.Shape__Length
0,"[[[2678219, 1235219], [2678560, 1235856], [2678206, 1236419], [2678196, 1237038], [2678259, 1237306], [2678520, 1237272], [2678123, 1237563], [2678568, 1238078], [2679069, 1238116], [2679202, 1238533], [2679735, 1238325], [2679758, 1238485], [2680539, 1237741], [2680802, 1237767], [2681155, 1237447], [2681130, 1237060], [2680945, 1236497], [2680610, 1236347], [2680402, 1236295], [2680489, 1235030], [2680409, 1235056], [2679258, 1234882], [2679123, 1234607], [2678219, 1235219]]]",2056,2056,1,13256,1,Aeugst am Albis,10053,101,1,4,791,1981,1700,281,241,6,34,0,1552,13,1076,463,0,429,310,16,100,3,977,41,57,53,58,57,38,33,51,66,82,97,92,76,68,46,36,18,6,3,1004,37,50,44,52,40,35,42,68,71,91,82,123,88,47,46,43,19,16,10,142,438,354,788,259,0,1826,93,26,18,17,3,7835042.0,12687.425919119036
1,"[[[2673859, 1233032], [2673590, 1233469], [2672965, 1234245], [2673125, 1234825], [2672825, 1235245], [2672860, 1235707], [2673947, 1236037], [2674425, 1236580], [2674799, 1236245], [2674795, 1236820], [2674986, 1237050], [2675449, 1237031], [2675657, 1236711], [2675478, 1236449], [2676175, 1235526], [2675861, 1235390], [2675918, 1235163], [2675370, 1235110], [2675212, 1234790], [2675197, 1234130], [2675592, 1233642], [2675445, 1233450], [2674958, 1233274], [2674058, 1233379], [2673859, 1233032]]]",2056,2056,2,12497,10,Obfelden,10053,101,1,4,754,5721,4493,1228,771,274,180,3,4249,37,2797,1412,3,1472,740,395,315,22,2831,167,181,174,167,163,163,210,193,194,215,237,192,135,134,132,101,41,24,8,2890,197,154,154,155,160,167,186,218,208,213,247,165,146,162,151,95,54,33,25,412,1475,799,2133,902,0,5245,234,135,37,69,3,7569010.5,13482.55299990049
2,"[[[2677040, 1263227], [2676402, 1263695], [2676330, 1264357], [2675427, 1265752], [2675853, 1265814], [2675805, 1266099], [2676138, 1266341], [2675912, 1266486], [2676204, 1266504], [2676328, 1266952], [2676552, 1266973], [2676578, 1268000], [2676913, 1267733], [2677709, 1268202], [2677836, 1267805], [2679200, 1267164], [2679920, 1266340], [2679542, 1266110], [2679697, 1265497], [2679232, 1264729], [2679087, 1264125], [2677455, 1263901], [2677040, 1263227]]]",2056,2056,3,10383,100,Stadel,10080,104,1,4,1289,2293,1970,323,253,25,45,0,1839,36,1456,347,0,454,293,51,104,6,1127,66,51,54,71,54,55,74,80,85,76,103,106,74,63,37,33,24,15,6,1166,58,59,61,62,72,59,69,71,88,95,106,87,67,54,47,47,32,23,9,160,596,253,894,390,0,2116,117,24,16,18,3,12785219.0,15931.281292212296
3,"[[[2647222, 1205116], [2645316.5175, 1205524.315], [2645105, 1206935], [2645665, 1207885], [2647007, 1208831], [2647705, 1209260], [2647775, 1207765], [2647135, 1206025], [2647505, 1205395], [2647222, 1205116]]]",2056,2056,4,15557,1001,Doppleschwand,10303,316,3,6,695,789,752,37,20,17,0,0,755,60,607,87,3,34,19,9,3,4,419,33,28,27,32,30,23,22,30,27,38,26,24,21,16,16,16,7,3,3,370,22,30,19,20,29,20,23,28,24,26,26,26,20,14,13,11,11,5,3,30,101,69,240,349,0,748,28,3,0,12,0,7033114.90625,11417.798599439473
4,"[[[2647222, 1205116], [2647505, 1205395], [2647135, 1206025], [2647775, 1207765], [2647705, 1209260], [2647737, 1209355], [2648539, 1208974], [2648665, 1209435], [2649585, 1209555], [2650433, 1209097], [2650793, 1208601], [2651540, 1208813], [2651710, 1207700], [2651414, 1207263], [2651445, 1206402], [2652468, 1207108], [2652355, 1206925], [2652677, 1206321], [2653662, 1205924], [2653355, 1204765], [2653825, 1202433], [2654510, 1202323], [2655060.23875, 1201628.16875], [2654156, 1200996], [2654230, 1200440], [2655294, 1198958], [2654710.04375, 1198289.7725], [2653023, 1197040], [2651261, 1193740], [2650890, 1194358], [2651043, 1195454], [2649991, 1195864], [2649315, 1195208], [2648769, 1195560], [2648935, 1196235], [2650735, 1197415], [2651896, 1197734], [2653048, 1199392], [2652455, 1200155], [2652320, 1200825], [2651745, 1201380], [2649579.66625, 1202176.33375], [2648725, 1202135], [2648034, 1202516], [2647304.28625, 1203951.42625], [2647222, 1205116]]]",2056,2056,5,15561,1002,Entlebuch,10303,316,3,6,5690,3280,3050,230,128,19,79,4,3014,525,2093,396,0,266,131,26,105,4,1683,90,105,90,88,112,131,110,104,94,108,128,135,100,94,64,52,41,29,8,1597,93,77,77,95,101,104,113,92,91,101,111,133,89,74,69,59,50,45,23,156,441,263,1061,1359,0,3096,100,36,13,32,3,56260948.670166016,50116.920954446265
5,"[[[2646449, 1181950], [2645250, 1182286], [2644441, 1182151], [2642684, 1181387], [2641682, 1180561], [2640854, 1180927], [2640385, 1181715], [2639358, 1182403], [2639272, 1182713], [2639113, 1183324], [2639465, 1183695], [2639243, 1184090], [2639400, 1184445], [2638865, 1184895], [2638915, 1185233], [2639615, 1187173], [2640273, 1187679], [2640761, 1188658], [2640035, 1190846], [2639448, 1190624], [2639834, 1191224], [2639563, 1192049], [2638946, 1192575], [2639246, 1192952], [2639537, 1192779], [2640115, 1193921], [2640511, 1194031], [2641085, 1194981], [2642210, 1195761], [2642178, 1196097], [2643908, 1196470], [2643855, 1196245], [2644203, 1196090], [2645035, 1196623], [2645428, 1196248], [2646585, 1196080], [2646958, 1195700], [2647508, 1195573], [2648103, 1194043], [2647899, 1193160], [2648174, 1192031], [2647826, 1190019], [2647181, 1189828], [2647293, 1189328], [2647094, 1188900], [2646292, 1188297], [2646047, 1187451], [2647764, 1184293], [2647724, 1183723], [2647044, 1183247], [2647144, 1182602], [2646612, 1182052], [2646449, 1181950]]]",2056,2056,6,15543,1004,Flühli,10303,316,3,6,10817,1929,1588,341,131,11,199,0,1555,224,924,407,0,374,144,24,203,3,1005,55,52,46,68,129,73,40,59,38,54,70,73,65,53,55,41,22,9,3,924,43,41,41,76,115,48,52,48,44,53,62,76,64,37,43,38,17,16,10,167,333,135,518,776,0,1746,29,17,117,19,3,107763387.5,48402.82059015503
6,"[[[2647508, 1195573], [2648135, 1196338], [2647708, 1196885], [2647681, 1198332], [2646975, 1197930], [2647103, 1198440], [2646387, 1198599], [2646150, 1198450], [2646030, 1198877], [2646345, 1199615], [2645945, 1200095], [2646315, 1201545], [2644765, 1203159], [2644443, 1202999], [2643951, 1203727], [2645235, 1204855], [2645316.5175, 1205524.315], [2647222, 1205116], [2647304.28625, 1203951.42625], [2648034, 1202516], [2648725, 1202135], [2649579.66625, 1202176.33375], [2651745, 1201380], [2652320, 1200825], [2652455, 1200155], [2653048, 1199392], [2651896, 1197734], [2650735, 1197415], [2648935, 1196235], [2648769, 1195560], [2649315, 1195208], [2649087, 1194486], [2648103, 1194043], [2647508, 1195573]]]",2056,2056,7,15547,1005,Hasle (LU),10303,316,3,6,4031,1736,1676,60,45,3,14,0,1658,217,1229,212,0,78,46,11,20,3,918,57,39,47,62,87,59,49,48,60,65,68,84,55,32,34,25,28,15,4,818,53,38,49,49,47,44,51,45,49,57,69,60,43,33,43,28,24,23,13,78,238,138,593,689,0,1632,58,13,4,28,3,40388384.57348633,36033.69630849387
7,"[[[2639088, 1203488], [2638770, 1204865], [2639360, 1205948], [2639017, 1206240], [2638755, 1206855], [2638845, 1207615], [2640323, 1208902], [2641575, 1208945], [2642415, 1208580], [2643815, 1208435], [2645156, 1209586], [2645825, 1209665], [2647007, 1208831], [2645665, 1207885], [2645105, 1206935], [2645316.5175, 1205524.315], [2645235, 1204855], [2643951, 1203727], [2643205, 1203405], [2642765, 1202925], [2642285, 1202985], [2640649, 1202216], [2639645, 1202629], [2639470, 1203355], [2639088, 1203488]]]",2056,2056,8,15582,1007,Romoos,10303,316,3,6,3739,659,642,17,13,0,4,0,637,149,399,89,0,22,18,0,4,0,333,17,19,14,16,23,21,22,22,18,18,14,29,38,18,19,8,9,6,3,326,23,18,21,17,16,24,15,19,18,12,21,36,28,14,11,12,9,10,3,18,84,37,174,346,0,634,11,7,0,7,0,36840628.67480469,26500.721427036846
8,"[[[2643951, 1203727], [2644443, 1202999], [2644765, 1203159], [2646315, 1201545], [2645945, 1200095], [2646345, 1199615], [2646030, 1198877], [2646150, 1198450], [2646387, 1198599], [2647103, 1198440], [2646975, 1197930], [2647681, 1198332], [2647708, 1196885], [2648135, 1196338], [2647508, 1195573], [2646958, 1195700], [2646585, 1196080], [2645428, 1196248], [2645035, 1196623], [2644203, 1196090], [2643855, 1196245], [2643908, 1196470], [2643919, 1197222], [2642607, 1196461], [2642541, 1197226], [2642199, 1197463], [2642170, 1198001], [2641655, 1198978], [2641165, 1198750], [2640535, 1198835], [2639415, 1200155], [2639202, 1200912], [2640006, 1201322], [2638891, 1201984], [2638688, 1202441], [2638915, 1202575], [2638825, 1202847], [2639215, 1202565], [2639645, 1202629], [2640649, 1202216], [2642285, 1202985], [2642765, 1202925], [2643205, 1203405], [2643951, 1203727]]]",2056,2056,9,15585,1008,Schüpfheim,10303,316,3,6,3838,4206,3926,280,116,64,80,20,3852,509,2591,750,3,354,146,57,126,25,2091,117,131,114,120,157,150,126,115,105,133,141,177,145,102,88,80,44,36,10,2115,109,131,111,122,153,133,112,117,119,137,161,160,120,120,80,87,75,47,21,153,552,428,1265,1808,0,4002,112,21,18,52,3,39578817.5,34530.40944568995
9,"[[[2652468, 1207108], [2651445, 1206402], [2651414, 1207263], [2651710, 1207700], [2651540, 1208813], [2650793, 1208601], [2650433, 1209097], [2649585, 1209555], [2648665, 1209435], [2648539, 1208974], [2647737, 1209355], [2647825, 1210205], [2647525, 1211145], [2647845, 1212015], [2648165, 1212025], [2648645, 1211605], [2649246, 1211601], [2650455, 1211805], [2650845, 1211155], [2651147, 1211358], [2651646, 1210712], [2652785, 1210498], [2654023, 1210057], [2653435, 1208555], [2652468, 1207108]]]",2056,2056,10,15522,1009,Werthenstein,10303,316,3,6,1580,2180,1871,309,173,66,70,0,1855,159,1409,287,0,325,148,78,70,29,1108,69,56,62,64,76,77,74,86,73,85,76,92,57,55,37,25,26,11,7,1072,84,69,57,58,72,78,72,67,66,78,79,70,53,40,38,40,22,17,12,193,523,229,698,535,3,1957,148,33,9,32,3,15989883.0,21722.995358201446
