,BEZIRKSNUM,NAME
0,1850,Surselva
1,250,Interlaken-Oberhasli
2,1843,Engiadina Bassa/Val Müstair
3,1846,Maloja
4,246,Bern-Mittelland
5,1849,Prättigau/Davos
6,2313,Visp
7,249,Frutigen-Niedersimmental
8,2224,Jura-Nord vaudois
9,245,Emmental
10,1841,Albula
11,2303,Entremont
12,1851,Viamala
13,2104,Locarno
14,2304,Goms
15,248,Obersimmental-Saanen
16,2108,Vallemaggia
17,241,Jura bernois
18,1725,Sarganserland
19,506,Schwyz
20,1003,La Gruyère
21,1847,Moesa
22,1727,Toggenburg
23,2103,Leventina
24,2221,Aigle
25,2301,Brig
26,316,Entlebuch
27,2311,Sierre
28,2305,Hérens
29,2227,Morges
30,2102,Blenio
31,2105,Lugano
32,315,Willisau
33,243,Seeland
34,2306,Leuk
35,2603,Porrentruy
36,244,Oberaargau
37,247,Thun
38,2228,Nyon
39,2601,Delémont
40,314,Sursee
41,1848,Plessur
42,2230,Riviera-Pays-d'Enhaut
43,2012,Frauenfeld
44,2309,Raron
45,2308,Monthey
46,1006,Sense
47,2307,Martigny
48,1726,See-Gaster
49,110,Winterthur
50,1842,Bernina
51,2302,Conthey
52,2223,Gros-de-Vaud
53,2015,Weinfelden
54,2101,Bellinzona
55,312,Luzern-Land
56,1004,La Sarine
57,1724,Werdenberg
58,1844,Imboden
59,2602,Les Franches-Montagnes
60,2222,Broye-Vully
61,2310,Saint-Maurice
62,505,March
63,103,Bülach
64,313,Hochdorf
65,105,Hinwil
66,1845,Landquart
67,1002,La Glâne
68,102,Andelfingen
69,108,Pfäffikon
70,1005,See
71,1721,St. Gallen
72,1906,Laufenburg
73,1902,Baden
74,104,Dielsdorf
75,2107,Riviera
76,1904,Brugg
77,1728,Wil
78,1910,Zofingen
79,1304,Sissach
80,2226,Lavaux-Oron
81,1102,Thal
82,1908,Muri
83,1723,Rheintal
84,2014,Münchwilen
85,1501,Hinterland
86,1007,La Veveyse
87,2312,Sion
88,1911,Zurzach
89,2013,Kreuzlingen
90,1001,La Broye
91,109,Uster
92,1903,Bremgarten
93,1107,Lebern
94,101,Affoltern
95,1909,Rheinfelden
96,501,Einsiedeln
97,1305,Waldenburg
98,1901,Aarau
99,106,Horgen
100,1907,Lenzburg
101,2106,Mendrisio
102,1905,Kulm
103,242,Biel/Bienne
104,1301,Arlesheim
105,1403,Schaffhausen
106,112,Zürich
107,2011,Arbon
108,1110,Thierstein
109,1303,Liestal
110,107,Meilen
111,1302,Laufen
112,1108,Olten
113,1106,Wasseramt
114,1105,Gösgen
115,2225,Lausanne
116,1103,Bucheggberg
117,1101,Gäu
118,1502,Mittelland
119,111,Dietikon
120,1722,Rorschach
121,1104,Dorneck
122,1406,Unterklettgau
123,1503,Vorderland
124,503,Höfe
125,1404,Schleitheim
126,1402,Reiat
127,504,Küssnacht (SZ)
128,1401,Oberklettgau
129,1405,Stein
130,311,Luzern-Stadt
131,2229,Ouest lausannois
132,502,Gersau
133,1109,Solothurn
